Доктора,Наиболее встречающаяся симптоматика,Наиболее встречающиеся анализы
Массажист,"{' нарушение осанки', 'боли в спине и пояснице', ' боли и отек в суставах'}",{'нет'}
Миколог,"{' сыпь', ' ломкость ногтей и волос', ' пятна', 'язв между пальцами ног', ' шелушение кожи головы', ' перхоть'}","{' Витамин (Д/В6/В12/гомоцистеин)', ' Ген МСМ6', ' Биохимический анализ крови(Алат/Аса/ГГТ/холестерин/креатенин/глюкоза/инсулин/щелочная фосфатаза/билирубин (общий и прямой-непрямой)/общий белок/мочевая кислота/сывороточное железо/ферритин)', 'Общий анализ крови', ' Узи брюшной полости'}"
Гомеопат,"{'неврозы', ' бессонница', ' гипертония', ' нарушения в работе желудочно-кишечного тракта', ' головные боли', ' мигрень'}",{'нет'}
Дерматолог,"{' сыпь', 'зуд', ' появление новообразований', ' пигментация', ' шелушение', ' покраснение'}","{' Витамин (Д/В6/В12/гомоцистеин)', ' Ген МСМ6', ' Биохимический анализ крови(Алат/Аса/ГГТ/холестерин/креатенин/глюкоза/инсулин/щелочная фосфатаза/билирубин (общий и прямой-непрямой)/общий белок/мочевая кислота/сывороточное железо/ферритин)', 'Общий анализ крови', ' Узи брюшной полости'}"
Терапевт,"{'повышение температуры', ' боль в животе', ' кашель', ' боль в грудной клетке'}","{' Анализ на Холестерин (холестерол) и триглицериды', ' Анализ на амилаза панкреатическая', ' Анализ на ферменты печени', ' Анализ на железо/кальций/глюкозу', 'Клинический анализ крови'}"
Пульмонолог,"{' боли в области груди', 'заболеваний дыхательных путей', ' приступы удушья', ' затрудненность дыхания', ' кровь в мокроте', ' сухой или влажный кашель'}","{' Анализ мочи', ' Рентгенограмма грудной клетки', ' Анализ сыворотки крови на определение уровня специфических антител', ' Бронхоскопия', ' Ингаляционные пробы', ' УЗИ брюшной полости Общий анализ крови', ' Компьютерная томография грудной клетки', 'Сирометрия'}"
Уролог,"{' рези при мочеиспускании', ' частые позывы', ' недержание кала', 'боли в области мочевого пузыря и поясницы', ' кровь или гной в моче'}","{' Забор секрета предстательной железы', 'Анализы мочи', ' Кровь на простатспецифический антиген (ПСА)', ' Подготовка к УЗИ мочевого пузыря', ' Внутривенная урография', ' Кровь на гормональные анализы', ' Мазки на инфекции передающиеся половым путем', ' Спермограмма', ' Сбор посева спермы'}"
Колопроктолог,"{'дискомфорт в области прямой кишки или ануса', ' кровотечения'}","{' Общий анализ мочи', ' Показатели свертываемости крови', 'Общий анализ крови', ' Обследование на сифилис', ' Обследование на ВИЧ', ' Глюкоза крови'}"
Гастроэнтеролог,"{' боли после приема пищи', ' понос', ' изжога', ' рвота', 'острая боль в животе'}","{' УЗИ органов брюшной полости', ' Общий анализ кала (копрограмм)', ' Биохимический анализ крови', ' Ректоскопию', 'Общий анализ крови', ' Эзофагоскопию', ' ФГДС с биопсией', ' Ректосигмоколоноскопию'}"
Логопед,"{' проблемы восприятием речи на слух', ' заикание', ' проблемы с чтением', 'задержка речевого развития', ' нарушение способа произношения', ' неправильное произношение отдельных звуков', ' слишком медленная или слишком быстрая речь', ' нарушения ритмики речи'}",{'нет'}
Иммунолог,"{' сонливость', ' ломота в суставах', ' ломота в мышцах', 'хроническая усталость', ' частые простудные заболевания', ' нарушения в работе желудочно-кишечного тракта', ' головные боли', ' частые обострения герпеса'}","{' Анализы на содержание гормонов в щитовидной железе', 'Общие анализы крови и мочи'}"
