Doctors,Description,Analysis
Акушер-гинеколог,"задержка менструации,токсикоз,повышение базальной температуры,болезненные ощущения в молочных железах","Общий анализ мочи,Клинический анализ крови,Анализ крови на группу крови и резус-фактор,Гинекологический мазок на флору и онкоцитологию из шейки матки,Анализ крови на ВИЧ,Анализ на гепатиты В и С,Анализ на сифилис,Анализ крови на TORCH-инфекции,Коагулограмма,Биохимический анализ крови,Анализ крови на ТТГ,Определение глюкозы венозной крови,ЭКГ"
Аллерголог,"слезотечение,ринорея (насморк),чихание,кашель,покраснение,зуд,пятна,отечность","Общий анализ крови,Анализ крови на иммуноглобулин Е,Анализ крови на иммуноглобулин G,Кожные пробы,Аппликационный и элиминационный тесты"
Андролог,"нарушения эрекции,проблемы с зачатием,изменение формы или плотности половых органов,боли и дискомфорт в области половых органов","Спермограмма,Анализ крови на гормоны,ПСА – тест"
Венеролог,"зуд,покраснение,жжение в половых органах,специфическими выделениями с неприятным запахом","Бакпосев (культуральный метод),ИФА (иммуноферментный анализ),ПЦР (полимеразная цепная реакция)"
Гастроэнтеролог,"острая боль в животе,изжога,рвота,понос,боли после приема пищи","Общий анализ крови,Биохимический анализ крови,Общий анализ кала (копрограмм),Эзофагоскопию,Ректосигмоколоноскопию,Ректоскопию,ФГДС с биопсией,УЗИ органов брюшной полости"
Гематолог,"повышения температуры,покалывание и онемение кончиков пальцев,бледность кожи,ухудшение аппетита,появлению синяков","Клинический анализ крови,Коагулограмма,Биохимический анализ крови (включая определение параметров обмена железа/витамина В12/фолиевой кислоты),Генетический анализ"
Гепатолог,"боли в правом подреберье,тяжесть и чувство дискомфорта в области печени,изменение цвета кожи,изменение цвета кала или мочи","Общий анализ крови,Общий анализ мочи,Биохимический анализ крови"
Гинеколог,"зуд,жжение в половых органах,выделения в половых органах,боли в области придатков,боли при мочеиспускании,нарушения менструального цикла","Мазок,Исследования крови (общий и биохимический анализ крови/анализ на гепатит/ВИЧ/сифилис),ПЦР,Анализ крови на онкомаркеры"
Гомеопат,"неврозы,бессонница,головные боли,мигрень,гипертония,нарушения в работе желудочно-кишечного тракта",нет
Дерматолог,"зуд,сыпь,покраснение,шелушение,пигментация,появление новообразований","Общий анализ крови,Биохимический анализ крови: Алат/Аса/ГГТ/холестерин/креатенин/глюкоза/инсулин/щелочная фосфатаза/билирубин (общий и прямой-непрямой)/ общий белок/ мочевая кислота/ сывороточное железо/ ферритин,Ген МСМ6,Витамин Д/В6/В12/гомоцистеин,Узи брюшной полости"
Диетолог,"избыточный или недостаточный вес,нарушения аппетита,пониженный иммунитет,сахарный диабет,гормональные нарушения",
Иммунолог,"хроническая усталость,головные боли,сонливость,ломота в мышцах,ломота в суставах,частые простудные заболевания,частые обострения герпеса,нарушения в работе желудочно-кишечного тракта",
Инфекционист,"сильные головные боли,бессонница,сонливость,быстрая утомляемость,нарушения в работе желудочно-кишечного тракта,ломота в суставах,ломота в мышцах",
Кардиолог,"боли в груди,боли в области сердца,нарушение пульса,биения,повышение или понижение давления,одышка,вялость",
Косметолог,врожденные или приобретенные дефекты внешности человека,
