Доктора,Наиболее встречающаяся симптоматика,Наиболее встречающиеся анализы
Дерматолог,"{' шелушение', 'зуд', ' пигментация', ' сыпь', ' покраснение', ' появление новообразований'}","{' Витамин (Д/В6/В12/гомоцистеин)', 'Общий анализ крови', ' Ген МСМ6', ' Узи брюшной полости', ' Биохимический анализ крови(Алат/Аса/ГГТ/холестерин/креатенин/глюкоза/инсулин/щелочная фосфатаза/билирубин (общий и прямой-непрямой)/общий белок/мочевая кислота/сывороточное железо/ферритин)'}"
Мануальный терапевт,"{' боли в суставах', 'боли в позвоночнике', ' скованность позвоночника', ' головокружения', ' головные боли'}","{'Общие анализы крови и мочи', ' Рентгенограмма позвоночника', ' Кардиограмму'}"
Андролог,"{' изменение формы или плотности половых органов', 'нарушения эрекции', ' боли и дискомфорт в области половых органов', ' проблемы с зачатием'}","{' Анализ крови на гормоны', ' ПСА – тест', 'Спермограмма'}"
Косметолог,{'врожденные или приобретенные дефекты внешности человека'},{'нет'}
Пластический хирург,"{' глубокие морщины', ' лишний вес', ' облысение', 'ожоги', ' ""заячья губа""'}","{' Анализ крови на ЗППП', ' УЗИ молочных желез', ' Биохимия крови', ' Тест на коронавирус', ' ЭКГ с расшифровкой', ' Мазок на я/г', 'Общий анализ крови с лейкоцитарной формулой тромбоцитами и СОЭ', ' Группа крови', ' Резус-фактор', ' Коагулограмма', ' Флюорограмма', ' Общий анализ мочи', ' КТ нос + пазухи', ' Консультация терапевта'}"
Логопед,"{' проблемы с чтением', ' проблемы восприятием речи на слух', ' заикание', ' нарушения ритмики речи', 'задержка речевого развития', ' неправильное произношение отдельных звуков', ' нарушение способа произношения', ' слишком медленная или слишком быстрая речь'}",{'нет'}
Нефролог,"{'наличие крови или белка в моче', ' боли в поясничном отделе', ' прекращение или сокращение мочеиспускания'}","{' Рентгенологическое исследование почек', 'Биохимический анализ крови/моч', ' Сцинтиграфию (радионуклидную медицину)', ' Офтальмоскопию (осмотр глазного дна)', ' Ангиографическое исследование при поражении сосудов', ' Радиоизотопное исследование почек', ' Компьютерную томографию почек (КТ)', ' Биопсию почки', ' Экскреторную урографию и посев мочи', ' Магнитно-резонансную томографию почек (МРТ)', ' УЗИ почек/мочевого тракта и органов брюшной полости'}"
Репродуктолог,{'не удается забеременеть в течение длительного времени'},"{' Спермограмма и MAR-тест', ' Мазок обычный (на флору) и мазок на скрытые инфекции (ПЦР-диагностика)', 'Ультразвуковое исследование (УЗИ)', ' Гистеросальпингография', ' Анализ крови на половые гормоны'}"
Нарколог,"{' наркозависимость', 'курение', ' алкоголизм', ' компьютерная зависимость'}","{' Биохимия крови', 'Общий анализ крови', ' Анализы на аллергию', ' Анализ на наркотики', ' Анализы на гормоны', ' Биохимия мочи', ' Общий анализ мочи', ' PCR диагностика'}"
Онколог,"{' беспричинная потеря волос', ' уплотнения в любой части тела', ' кожные новообразования', 'частые необъяснимые кровотечения из внутренних органов и из носа'}","{' Анализ кала/мочи', ' Анализ на онкомаркеры', ' Биохимия', 'Общий анализ крови'}"
УЗИ-специалист,"{' признаки патологии сердца', 'боли в районе малого таза', ' боли в почках'}","{' УЗИ молочных желез', 'УЗИ матки и яичников', ' УЗИ органов брюшной полости', ' УЗИ щитовидной железы', ' УЗИ предстательной железы', ' почек/надпочечников/мочеточников', ' УЗИ мочевого пузыря'}"
Стоматолог,"{' реакция на кислое-сладкое/холодное-горячее', ' пигментация эмали', 'боль в зубах', ' кровоточивость десен', ' язвочки на внутренней поверхности щек'}","{' Анализ на резус-фактор', ' Анализ на ВИЧ/СПИД', 'Общий анализ крови', ' Коагулограмма', ' Биохимический анализ крови', ' нет'}"
Психиатр,"{' нарушения работы памяти', 'постоянное чувство тревоги', ' чувство страха (вообще или боязни конкретных объектов или ситуаций)', ' постоянная сонливость', ' вспышки агрессии'}","{' Гормоны щитовидной железы', 'Биохимический анализ крови', ' Определение концентрации препарата в крови (в частности', ' лития)'}"
